(0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0)
Policy: 
state -> action, value-function
0:1:0:0:1:1:1:0 -> WE, 186.795204394
1:1:1:0:1:0:1:0 -> WE, 217.975382292
0:1:1:0:1:1:1:0 -> PS, 230.01458207
0:1:1:1:1:1:1:1 -> PS, 358.453090188
0:1:1:1:1:1:1:0 -> PS, 284.439344586
1:1:1:1:1:1:1:1 -> PS, 494.715295702
0:0:0:1:1:1:1:1 -> PS, 240.417082004
0:0:0:1:1:1:1:0 -> WE, 194.690729979
0:1:0:1:1:0:1:0 -> WE, 202.579888809
1:0:1:0:1:0:1:1 -> PS, 517.729735724
1:0:1:1:1:0:0:1 -> PS, 468.357505724
1:0:1:1:1:0:0:0 -> PS, 271.817933224
0:1:1:0:0:1:0:1 -> PS, 249.813034891
1:0:0:1:1:0:0:0 -> WE, 217.975382292
1:0:0:1:1:0:0:1 -> PS, 191.392481327
1:0:0:1:0:1:1:1 -> WE, 216.852400272
1:0:0:0:1:0:0:0 -> WE, 211.329657051
1:0:1:1:1:0:1:1 -> PS, 342.822858603
1:0:1:0:0:0:1:0 -> PS, 257.334266732
0:1:1:0:1:0:1:1 -> PS, 343.56342924
0:1:1:0:1:0:1:0 -> PS, 256.898508428
0:1:0:1:0:1:1:0 -> PS, 244.759776248
0:1:0:0:0:0:0:0 -> PS, 242.195275703
0:1:0:0:0:1:0:0 -> PS, 234.708714124
0:0:0:1:0:1:1:0 -> WE, 210.554830022
0:0:0:1:0:1:1:1 -> WE, 192.409615067
0:1:1:1:0:0:1:0 -> WE, 216.565261632
1:0:1:1:0:1:1:0 -> PS, 242.91451763
1:0:0:1:1:1:1:0 -> WE, 210.99374602
1:0:0:1:1:1:1:1 -> WE, 208.268163751
0:1:0:1:1:0:0:1 -> WE, 183.519894067
ECR value: 225.392195537
